"Date","Circulating Marketcap"
"2020-08-17","48216550027.592476"
"2020-08-16","48082783080.632034"
"2020-08-15","48740539871.25707"
"2020-08-14","47233184125.800934"
"2020-08-13","42991392484.305"
"2020-08-12","42076029097.30319"
"2020-08-11","43949780902.90411"
"2020-08-10","43343088457.96541"
"2020-08-09","44120629243.26527"
"2020-08-08","42126042560.959526"
"2020-08-07","43847699443.43963"
"2020-08-06","44514294241.139145"
"2020-08-05","43251499230.29314"
"2020-08-04","42824136399.74631"
"2020-08-03","41291925652.9914"
"2020-08-02","42965814106.958084"
"2020-08-01","38467521842.602974"
"2020-07-31","37185327969.663315"
"2020-07-30","35271914721.23747"
"2020-07-29","35207332915.47161"
"2020-07-28","35746838600.07605"
"2020-07-27","34520403876.384"
"2020-07-26","33871910386.892395"
"2020-07-25","30996440658.326546"
"2020-07-24","30525155149.443966"
"2020-07-23","29301305061.87613"
"2020-07-22","27240517000.33047"
"2020-07-21","26156275105.216236"
"2020-07-20","26511357981.535137"
"2020-07-19","26114601182.563526"
"2020-07-18","25767224741.6849"
"2020-07-17","25852035610.98917"
"2020-07-16","26399208306.51711"
"2020-07-15","26608260357.473583"
"2020-07-14","26484619440.72746"
"2020-07-13","26887915774.709644"
"2020-07-12","26469400121.184776"
"2020-07-11","26689357609.494915"
"2020-07-10","26768728429.835003"
"2020-07-09","27331400809.58708"
"2020-07-08","26482695417.494698"
"2020-07-07","26733562995.241455"
"2020-07-06","25181503341.931858"
"2020-07-05","25349855054.84534"
"2020-07-04","24867367886.308247"
"2020-07-03","25024381052.80124"
"2020-07-02","25544849197.512836"
"2020-07-01","24923508789.976643"
"2020-06-30","25177008021.307804"
"2020-06-29","24846332797.475822"
"2020-06-28","24378945616.92456"
"2020-06-27","25348339408.852146"
"2020-06-26","25638700935.835503"
"2020-06-25","25911697449.458645"
"2020-06-24","26840112957.973633"
"2020-06-23","26859556564.364697"
"2020-06-22","25168712353.72965"
"2020-06-21","25259368674.424957"
"2020-06-20","25235996915.15031"
"2020-06-19","25495959803.286243"
"2020-06-18","25791421559.23754"
"2020-06-17","25970331227.945213"
"2020-06-16","25477503722.689762"
"2020-06-15","25536566964.999157"
"2020-06-14","26272638157.407322"
"2020-06-13","26184036110.93325"
"2020-06-12","25436593437.781387"
"2020-06-11","27327031039.256832"
"2020-06-10","26886120683.01681"
"2020-06-09","27171771245.812885"
"2020-06-08","26961254721.382755"
"2020-06-07","26650761107.719044"
"2020-06-06","26429486414.922035"
"2020-06-05","26798388710.402367"
"2020-06-04","26919980480.95732"
"2020-06-03","26198084610.922203"
"2020-06-02","27352476545.511852"
"2020-06-01","25472849192.763546"
"2020-05-31","26823630792.478188"
"2020-05-30","24271419253.45204"
"2020-05-29","24197563438.885437"
"2020-05-28","22929987813.02655"
"2020-05-27","22105197996.88807"
"2020-05-26","22436265210.25244"
"2020-05-25","22060417715.187885"
"2020-05-24","22718605714.89906"
"2020-05-23","22788486350.120693"
"2020-05-22","21792218562.77257"
"2020-05-21","23060124909.588226"
"2020-05-20","23592792742.74339"
"2020-05-19","23607108966.696907"
"2020-05-18","22749474676.373207"
"2020-05-17","22019623851.69592"
"2020-05-16","21391436458.04019"
"2020-05-15","22323777970.86645"
"2020-05-14","21941963780.10655"
"2020-05-13","20860607454.39782"
"2020-05-12","20461049838.97143"
"2020-05-11","20634110752.29769"
"2020-05-10","23068938940.601864"
"2020-05-09","23197210645.8568"
"2020-05-08","23295151018.785084"
"2020-05-07","21846808530.460705"
"2020-05-06","22556829057.64637"
"2020-05-05","22699347612.884388"
"2020-05-04","23043990803.135834"
"2020-05-03","23463634352.640984"
"2020-05-02","23254111375.87877"
"2020-05-01","22662561614.945583"
"2020-04-30","23625315348.57174"
"2020-04-29","21590801463.852158"
"2020-04-28","21559022050.78028"
"2020-04-27","21662395193.768764"
"2020-04-26","21290333869.398476"
"2020-04-25","20558149597.9658"
"2020-04-24","20335483621.588097"
"2020-04-23","20026589608.568382"
"2020-04-22","18720484145.471672"
"2020-04-21","18669005173.83174"
"2020-04-20","19756316516.79458"
"2020-04-19","20568025687.785744"
"2020-04-18","18714125491.653137"
"2020-04-17","18890004938.304893"
"2020-04-16","16714065760.236273"
"2020-04-15","17335435982.442375"
"2020-04-14","17148373587.049109"
"2020-04-13","17377067740.076283"
"2020-04-12","17356838023.60016"
"2020-04-11","17300965532.05354"
"2020-04-10","18541784583.02375"
"2020-04-09","18954600502.912132"
"2020-04-08","18004565525.307587"
"2020-04-07","18743415359.004917"
"2020-04-06","15610798666.758827"
"2020-04-05","15795463130.68944"
"2020-04-04","15458386763.60128"
"2020-04-03","15470426011.309397"
"2020-04-02","14887057599.856272"
"2020-04-01","14545291302.063654"
