"Date","Circulating Marketcap"
"2021-11-20","97014434366.82912"
"2021-11-19","88839601210.20839"
"2021-11-18","96451069473.38754"
"2021-11-17","98331413257.62898"
"2021-11-16","105706550080.43077"
"2021-11-15","108561367891.01825"
"2021-11-14","108362841688.2751"
"2021-11-13","104602422124.98189"
"2021-11-12","104887811507.11673"
"2021-11-11","102660076053.67097"
"2021-11-10","105918560442.70877"
"2021-11-09","109080501892.05576"
"2021-11-08","108453358875.58997"
"2021-11-07","106158427231.13336"
"2021-11-06","101379336200.43791"
"2021-11-05","93335657221.6069"
"2021-11-04","94819669004.97258"
"2021-11-03","92502073296.85231"
"2021-11-02","91984793148.90086"
"2021-11-01","87498786509.82138"
"2021-10-31","88083192747.61023"
"2021-10-30","88437707767.24828"
"2021-10-29","82102185595.35744"
"2021-10-28","74908648400.51367"
"2021-10-27","79761881065.31546"
"2021-10-26","80886722684.38145"
"2021-10-25","79457257084.7313"
"2021-10-24","80971652985.40431"
"2021-10-23","79840670472.42172"
"2021-10-22","78574583558.82057"
"2021-10-21","83617341195.42453"
"2021-10-20","81436653415.83371"
"2021-10-19","80891448924.59851"
"2021-10-18","79152531705.84366"
"2021-10-17","78308109101.62027"
"2021-10-16","79734074320.25581"
"2021-10-15","79450490048.49295"
"2021-10-14","79140428423.51492"
"2021-10-13","74650756578.35957"
"2021-10-12","69500130989.88823"
"2021-10-11","67993792374.99147"
"2021-10-10","70917368061.87312"
"2021-10-09","70506866472.15599"
"2021-10-08","73788613720.87218"
"2021-10-07","73172931834.8691"
"2021-10-06","74421092642.57326"
"2021-10-05","71707417569.76482"
"2021-10-04","72423924091.46529"
"2021-10-03","72329744054.98601"
"2021-10-02","70559163057.42497"
"2021-10-01","65118105902.35609"
"2021-09-30","61851538898.71656"
"2021-09-29","56096290019.35425"
"2021-09-28","56725351910.90718"
"2021-09-27","57864871853.42714"
"2021-09-26","58819529564.243195"
"2021-09-25","59765269863.23571"
"2021-09-24","64525964614.03553"
"2021-09-23","63750025845.812996"
"2021-09-22","57917835754.85718"
"2021-09-21","61110031241.13534"
"2021-09-20","68688355970.88393"
"2021-09-19","68959726243.10904"
"2021-09-18","68414361843.337906"
"2021-09-17","71383958886.9047"
"2021-09-16","72517597373.33482"
"2021-09-15","69697038327.31558"
"2021-09-14","67109916256.055695"
"2021-09-13","70049499530.14665"
"2021-09-12","68103210021.07114"
"2021-09-11","67475418620.20822"
"2021-09-10","70846932033.40027"
"2021-09-09","70025250714.79248"
"2021-09-08","70288021153.59079"
"2021-09-07","83758003504.77937"
"2021-09-06","84911886774.75874"
"2021-09-05","83734512245.31963"
"2021-09-04","82146541639.57463"
"2021-09-03","81343256314.36537"
"2021-09-02","82406932102.13347"
"2021-09-01","77998058036.52933"
"2021-08-31","77414311958.71776"
"2021-08-30","80713675421.66354"
"2021-08-29","81780377618.51256"
"2021-08-28","83188014817.94398"
"2021-08-27","80441591652.25462"
"2021-08-26","84587992383.71094"
"2021-08-25","79339091865.65277"
"2021-08-24","83970988665.52419"
"2021-08-23","75515825622.67346"
"2021-08-22","75493330398.41663"
"2021-08-21","76499647969.79956"
"2021-08-20","72486025246.27377"
"2021-08-19","66731699138.74714"
"2021-08-18","67571289395.81684"
"2021-08-17","70168904711.3263"
"2021-08-16","69682073433.25531"
"2021-08-15","68766980761.71996"
"2021-08-14","69104105827.90541"
"2021-08-13","64856600497.14803"
"2021-08-12","65792631075.19553"
"2021-08-11","62547056815.23756"
"2021-08-10","59611119592.299545"
"2021-08-09","57519379703.77943"
"2021-08-08","59922941463.268166"
"2021-08-07","57569132654.25492"
"2021-08-06","56841691012.15846"
"2021-08-05","56299135728.09151"
"2021-08-04","54348737044.61946"
"2021-08-03","55607952780.73494"
"2021-08-02","56083302595.21628"
"2021-08-01","55973497031.36833"
"2021-07-31","54262529547.154526"
"2021-07-30","53307183619.368774"
"2021-07-29","52757216599.494965"
"2021-07-28","52741873521.90805"
"2021-07-27","51137541146.3555"
"2021-07-26","50893534577.68185"
"2021-07-25","50736877411.515"
"2021-07-24","50344946731.397575"
"2021-07-23","49349388209.51404"
"2021-07-22","49294475937.67741"
"2021-07-21","44472296463.110794"
"2021-07-20","47193375812.624"
"2021-07-19","51171131593.42641"
"2021-07-18","46107782325.096596"
"2021-07-17","46491702119.97"
"2021-07-16","48495750560.845795"
"2021-07-15","47478674573.212204"
"2021-07-14","47410734486.4206"
"2021-07-13","48493295634.493805"
"2021-07-12","49400647680.94906"
"2021-07-11","48497637785.478905"
"2021-07-10","48684902636.267395"
"2021-07-09","47632813261.5384"
"2021-07-08","50300643101.415596"
"2021-07-07","49205522291.440445"
"2021-07-06","46371165236.0868"
"2021-07-05","47218022767.788605"
"2021-07-04","45746325106.344"
"2021-07-03","44086564743.0465"
"2021-07-02","44105421646.0878"
"2021-07-01","46601713507.118996"
"2021-06-30","46168771901.6541"
"2021-06-29","44495524786.07874"
"2021-06-28","44556294222.37336"
"2021-06-27","42804685343.79918"
"2021-06-26","43113754146.02631"
"2021-06-25","47335046038.91261"
"2021-06-24","45422011838.98802"
"2021-06-23","40238130134.37596"
"2021-06-22","41600858555.59811"
"2021-06-21","52091428213.1336"
"2021-06-20","51267439129.419975"
"2021-06-19","51769103328.96714"
"2021-06-18","54140101885.444435"
"2021-06-17","53301130805.202576"
"2021-06-16","56256343877.9525"
"2021-06-15","56842024514.91364"
"2021-06-14","56305101480.81957"
"2021-06-13","52715049720.81387"
"2021-06-12","53056706247.43078"
"2021-06-11","54015968958.48064"
"2021-06-10","57630604084.67208"
"2021-06-09","54159894729.377625"
"2021-06-08","54929698261.311905"
"2021-06-07","60373563974.57646"
"2021-06-06","59913428904.969986"
"2021-06-05","60035524192.41477"
"2021-06-04","65651644648.77209"
"2021-06-03","61544414024.44945"
"2021-06-02","55686189577.33364"
"2021-06-01","54309022575.425644"
"2021-05-31","50005256963.19056"
"2021-05-30","46846883932.762924"
"2021-05-29","50586283150.61215"
"2021-05-28","56432381562.780495"
"2021-05-27","58098917625.24714"
"2021-05-26","52713206630.57242"
"2021-05-25","53126723631.43215"
"2021-05-24","40062480154.0149"
"2021-05-23","46059144097.447945"
"2021-05-22","50160635051.00047"
"2021-05-21","60236606873.191376"
"2021-05-20","51622282664.73555"
"2021-05-19","77980720553.90178"
"2021-05-18","78617317768.04295"
"2021-05-17","86492192662.5194"
"2021-05-16","86495114078.73001"
"2021-05-15","92530715820.3431"
"2021-05-14","87637413927.3825"
"2021-05-13","90373454768.57619"
"2021-05-12","103207804257.28166"
"2021-05-11","97018689430.58897"
"2021-05-10","101675331825.81786"
"2021-05-09","99304670819.4842"
"2021-05-08","95900930776.14218"
"2021-05-07","97324481194.38254"
"2021-05-06","100021401911.72047"
"2021-05-05","93564270501.13101"
"2021-05-04","103774401259.57181"
"2021-05-03","95446846118.29843"
"2021-05-02","95085725226.6141"
"2021-05-01","95664521369.12236"
"2021-04-30","92081964671.024"
"2021-04-29","86430070402.62608"
"2021-04-28","87433981848.45349"
"2021-04-27","82172414914.21361"
"2021-04-26","77585645861.09502"
"2021-04-25","76317354191.95103"
"2021-04-24","80782466299.70784"
"2021-04-23","77539830798.01598"
"2021-04-22","83467848863.81822"
"2021-04-21","90157716245.0666"
"2021-04-20","77432765322.51471"
"2021-04-19","74019957394.89746"
"2021-04-18","79033760887.1794"
"2021-04-17","78090101264.65096"
"2021-04-16","83850161164.60522"
"2021-04-15","84869943514.5631"
"2021-04-14","85103925038.94832"
"2021-04-13","92474899411.30696"
"2021-04-12","81251731212.21693"
"2021-04-11","72874694375.78564"
"2021-04-10","70125277973.1345"
"2021-04-09","64691967065.46688"
"2021-04-08","58018406931.5547"
